"Location","Source","Target"
"8290981-0-23032","Art Test",
"8290981-0-23033","Art Test",
"8290981-0-23034","Art Test",
"8290981-0-23035","Imperial Archer",
"8290981-0-23036","Imperial Archer",
"8290981-0-23037","Imperial Infantry",
"8290981-0-23038","Imperial Infantry",
"8290981-0-23039","Imperial Arcanist",
"8290981-0-23040","Imperial Arcanist",
"8290981-0-23041","Imperial Enforcer",
"8290981-0-23042","Imperial Enforcer",
"8290981-0-23043","Imperial Marauder",
"8290981-0-23044","Imperial Marauder",
"8290981-0-23045","Imperial Battlemage",
"8290981-0-23046","Imperial Battlemage",
"8290981-0-23047","Geirvarda Frostwind^F",
"8290981-0-23048","Renus Falvani^M",
"8290981-0-23049","Guronii Alas^F",
"8290981-0-23051","Corrupted Hist Sap",
"8290981-0-23052","Iruvon the Gentleman",
"8290981-0-23053","Orana Avayn",
"8290981-0-23054","Ethis Avayn",
"8290981-0-23055","Debbeni Avayn",
"8290981-0-23056","Dremora Caitiff",
"8290981-0-23057","Dremora Caitiff",
"8290981-0-23058","Dremora Churl",
"8290981-0-23059","Dremora Churl",
"8290981-0-23060","Dremora Kyngald",
"8290981-0-23061","Dremora Kyngald",
"8290981-0-23062","Dremora Narkynaz",
"8290981-0-23063","Dremora Narkynaz",
"8290981-0-23064","Dremora Harstryl",
"8290981-0-23065","Dremora Harstryl",
"8290981-0-23066","Dremora Hauzkyn",
"8290981-0-23067","Dremora Hauzkyn",
"8290981-0-23068","Dremora Kynval",
"8290981-0-23069","Dremora Kynval",
"8290981-0-23070","Lorak the Blades",
"8290981-0-23071","Dushkul",
"8290981-0-23072","Vala",
"8290981-0-23073","Aelif^F",
"8290981-0-23074","Mora Devotee",
"8290981-0-23075","Guildmaster Sees-All-Colors^F",
"8290981-0-23076","Merric at-Aswala^M",
"8290981-0-23077","Aelif^F",
"8290981-0-23078","Jack",
"8290981-0-23079","Bandit Cutthroat",
"8290981-0-23080","Bandit Cutthroat",
"8290981-0-23081","Bandit Marksman",
"8290981-0-23082","Bandit Marksman",
"8290981-0-23083","Bandit Defiler",
"8290981-0-23084","Bandit Defiler",
"8290981-0-23085","Vigilant Devotee",
"8290981-0-23086","Jill",
"8290981-0-23087","Placid Werewolf",
"8290981-0-23088","Ember-Eye Archer",
"8290981-0-23089","Ember-Eye Archer",
"8290981-0-23090","Ember-Eye Healer",
"8290981-0-23091","Ember-Eye Healer",
"8290981-0-23092","Ember-Eye Stalker",
"8290981-0-23093","Ember-Eye Stalker",
"8290981-0-23094","Ember-Eye Recruit",
"8290981-0-23095","Ember-Eye Recruit",
"8290981-0-23096","Pact Healer",
"8290981-0-23097","Pact Healer",
"8290981-0-23098","Akhita^F",
"8290981-0-23099","Darkfern Flamerender^m",
"8290981-0-23100","Aelif^F",
"8290981-0-23101","Darkfern Flamerender^f",
"8290981-0-23102","Stonechewer Butcher",
"8290981-0-23103","Stonechewer Shaman",
"8290981-0-23104","Stonechewer Sorcerer",
"8290981-0-23105","Stonechewer Skirmisher",
"8290981-0-23106","Stonechewer Warlord",
"8290981-0-23107","Vestarag",
"8290981-0-23108","Oriphatis",
"8290981-0-23109","Myrelas",
"8290981-0-23110","Aelif^F",
"8290981-0-23111","Feyne Vildan^F",
"8290981-0-23112","Gerent Garm^M",
"8290981-0-23113","Dominion Scout Vargel^m",
"8290981-0-23114","Vigilant Devotee",
"8290981-0-23115","Merric at-Aswala^M",
"8290981-0-23116","Swims-in-Spells^M",
"8290981-0-23117","Vigilant Devotee",
"8290981-0-23118","Jofnir Iceblade^M",
"8290981-0-23119","Supernal Storm Mage",
"8290981-0-23120","Supernal Storm Mage",
"8290981-0-23121","Midnight Union Deadeye",
"8290981-0-23122","Midnight Union Deadeye",
"8290981-0-23123","Midnight Union Striker",
"8290981-0-23124","Midnight Union Striker",
"8290981-0-23125","Midnight Union Butcher",
"8290981-0-23126","Midnight Union Butcher",
"8290981-0-23127","Supernal Guardian",
"8290981-0-23128","Supernal Guardian",
"8290981-0-23129","Midnight Union Brigand",
"8290981-0-23130","Midnight Union Brigand",
"8290981-0-23131","Registrar Bameni^F",
"8290981-0-23132","Dremora Kyngald",
"8290981-0-23133","Dremora Kyngald",
"8290981-0-23134","Dremora Churl",
"8290981-0-23135","Dremora Churl",
"8290981-0-23136","Dremora Narkynaz",
"8290981-0-23137","Dremora Narkynaz",
"8290981-0-23138","Dremora Caitiff",
"8290981-0-23139","Dremora Caitiff",
"8290981-0-23140","Blackmaul Enforcer",
"8290981-0-23141","Blackmaul Enforcer",
"8290981-0-23142","Blackmaul Charger",
"8290981-0-23143","Blackmaul Charger",
"8290981-0-23144","Miharil^M",
"8290981-0-23145","Dead Mage",
"8290981-0-23146","]settemplate 1086",
"8290981-0-23147","Dead Mage",
"8290981-0-23148","Dead Assassin",
"8290981-0-23149","Dead Assassin",
"8290981-0-23150","Dead Bosmer Mage",
"8290981-0-23151","Dead Bosmer Mage",
"8290981-0-23152","Dead Knight",
"8290981-0-23153","Dead Knight",
"8290981-0-23154","Quag Spellsinger",
"8290981-0-23155","Quag Spellsinger",
"8290981-0-23156","Quag Spellsinger",
"8290981-0-23157","Cursed Evoker",
"8290981-0-23158","Cursed Evoker",
"8290981-0-23159","Cursed Infantry",
"8290981-0-23160","Cursed Infantry",
"8290981-0-23161","Cursed Duelist",
"8290981-0-23162","Cursed Duelist",
"8290981-0-23163","Cursed Knight",
"8290981-0-23164","Cursed Knight",
"8290981-0-23165","Peasant",
"8290981-0-23166","Mean Monster Grr!",
"8290981-0-23167","Loyal Doggie",
"8290981-0-23168","Loyal Doggie",
"8290981-0-23169","Loyal Doggie",
