"location","source","target"
"103224356-0-38098","<<1>> and I guided <<2>> to dig up a <<z:3>>. I should take it.","<<1>> ed io abbiamo guidato <<2>> per scavare una <<z:3>>. Dovrei prenderla io."
"103224356-0-38216","While Eveli escorts Chief Bazrag to meet with High Priestess Solgra, I need to find Ulsha outside of Fharun Stronghold. Maybe she can give me proof that Bazrag wasn't involved in the temple attack.","Mentre Eveli scorta il Capo Bazrag ad incontrare l'Alta Sacerdotessa Solgra, devo trovare Ulsha fuori dalla Fortezza Fharun. Forse lei mi può fornire la prova che Bazrag non era coinvolto nell'attacco al tempio."
"103224356-0-38270","Chief Bazrag wants me to go warn King Kurog and try to convince him to postpone the moot while Eveli goes to protect High Priestess Solgra. I should head to the keep and talk to the king.","Il Capo Bazrag vuole che io vada ad avvertire Re Kurog e provi a convincerlo a rimandare il consiglio mentre Eveli va a proteggere l'Alta Sacerdotessa Solgra. Dovrei dirigermi al forte e parlare al re."
"103224356-0-38199","I should go to the King's Cornerclub in Orsinium and report to King Kurog, as requested.","Dovrei andare alla Taverna del Re in Orsinium e fare rapporto a Re Kurog, come richiesto."
"103224356-0-38196","High Priestess Solgra suspects Chief Bazrag is behind the attack on the temple. I need to get the news to the forge-mother as soon as possible.",""
"103224356-0-37014","I should look for a researcher who's interested in ancient Nord curiosities and see if they want the relics I found.","Dovrei trovare un ricercatore che sia interessato in amenità antiche dei Nord e vedere se vuole le reliquie che ho trovato."
"103224356-0-37421","<<1>> wants me to turn over the hideous mug. I should speak with <<2>> to determine her fate. However, <<3>>'s journal mentioned a buyer. If I wanted, I could sell the mug to <<4>>.","<<1>> vuole che mi sbarazzi dell'orribile boccale. Dovrei parlare con <<2>> per determinare il suo fato. Tuttavia, il diario di <<3>> menzionava un compratore. Se volessi, potrei vendere il boccale a <<4>>."
"103224356-0-37374","I tasted the ""brain pocket."" I should let <<1>> know what I thought of it.","Ho assaggiato la ""tasca di cervello"". Dovrei far sapere a <<1>> cosa ne penso."
"103224356-0-37215","I should find Chief Bazrag and show him the note I found that talked about the stolen supplies.","Dovrei trovare il Capo Bazrag e mostrargli la nota che ho trovato che parlava dei rifornimenti rubati."
"103224356-0-37563","Back at the House of Orsimer Glories, the curator waits for me to bring her the Skull of Coldwind.","Al ritorno alla Casa dell Glorie Orsimer, la custode aspetta che le porti il Teschio di Ventofreddo."
"103224356-0-37558","Alga attacked me, but it appears that one of Kurog's shield-wives came to me rescue. I should speak to her to find out what's going on.","Alga mi ha attaccato, ma sembra che una delle mogli-di-scudo di Kurog sia venuta a soccorrermi. Dovrei parlarle per scoprire cosa sta succedendo."
"103224356-0-37525","I led the rescued Orcs out of Paragon's Remembrance. I should talk to Razasha and make sure everyone's all right.","Ho condotto gli Orchi salvati fuori Ricordo del Modello. Dovrei parlare con Razasha ed assicurarmi che tutti stiano bene."
"103224356-0-37524","Forge-Mother Alga attacked me. I'm not completely certain what happened after that, but I seem to be somewhere safe with Chief Bazrag. I should talk to him.","La Madre-di-Forgia Alga mi ha attaccat<<player{o/a}>>. Non sono del tutto sicur<<player{o/a}>> di cosa sia successo dopo, ma in qualche modo sembra che io sia in un posto sicuro con il Capo Bazrag. Dovrei parlargli."
"103224356-0-37859","Doranar asked me to acquire authentic ogre ""artistic materials"" for his piece. He suggested I try the nearby ogre den in <<1>>.","Doranar mi ha chiesto di procurargli autentici ""materiali artistici"" ogre per il suo pezzo. Ha suggerito di provare nella vicina tana degli orge in <<1>>."
"103224356-0-37901","I need to enter the den if I want to find the tomb.","Devo entrare nella tana se voglio trovare la tomba."
"103224356-0-37805","I gathered some ""materials"" for <<1>>'s artwork. I should deliver what I found to him in Orsinium.","Ho raccolto alcuni ""materiali"" per l'opera d'arte di <<1>>.  Dovrei consegnargli ad Orsinium ciò che ho trovato."
"103224356-0-35638","It seems the pressure valves had something to do with a massive Dwarven construct! I should defeat this <<1>>.","Sembra che le valvole di pressione abbiano a che fare con l'enorme costrutto Nanico! Dovrei sconfiggere questo <<1>>."
"103224356-0-35459","I decided to leave <<1>> to his fate. I should tell Glurbasha what happened.","Ho scelto di abbandonare <<1>> al suo destino. Dovrei dire a Glurbasha cosa è successo."
"103224356-0-34864","I should seek out and kill enemy Templars.",""
"103224356-0-34886","I should seek out and kill enemy Nightblades.",""
"103224356-0-34884","I should seek out and kill enemy Dragonknights.",""
"103224356-0-23450","At'avar should be given a chance to live.","Ad At'avar dovrebbe esser data una possibilità di vivere."
"103224356-0-20258","I should seek out and kill enemy soldiers.",""
"103224356-0-9160","I should seek out and kill enemy soldiers.",""
"103224356-0-34888","I should seek out and kill enemy Nightblades.",""
"103224356-0-37168","I found the missing hunters and collected the Riekr chief's totem. Now I should return to the Orc camp and give the totem to Orgotha.",""
"103224356-0-37982","I was drawn into another memory of past events, during the fall of Old Orsinium. I walk in the boots of <<1>>, a Knight of the Dragon. A wounded Orc has approached me. I should speak with him.","Sono stato trascinat<<player{o/a}>> in un'altra memoria di eventi passati, durante la caduta di Orsinium Vecchia. Vesto i panni di <<1>>, un Cavaliere del Drago. Un Orco ferito mi si è avvicinato. Dovrei parlare con lui."
"103224356-0-38118","The four cursed clans who caused Old Orsinium's downfall are the key to unlocking Temper's Fork. I should press the floor panels matching the cursed clans.","I quattro clan maledetti che hanno causato la caduta di Orsinium Vecchia sono la chiave per sbloccare Forca della Tempra. Dovrei premere i pannelli del pavimento corrispondenti ai quattro clan maledetti."
"103224356-0-10317","I should seek out and kill enemy soldiers.","Dovrei cercare ed uccidere i soldati nemici."
"103224356-0-16165","<<1>> claims to be a servant of Meridia. She told me that she had no choice but to kill <<2>>. I must decide what to do with her.","<<1>> dice di essere una servitrice di Meridia. Mi ha detto che non aveva altra scelta se non di uccidere <<2>>. Devo decidere cosa fare con lei."
"103224356-0-17675","The King is dying. I need to leave the vault and find someone to help him.","Il Re sta morendo. Devo lasciare la volta e trovare qualcuno che lo soccorra."
"103224356-0-23460","Guardian Sud-Hareem asked for help in finding his son, At'avar.","Il Guardiano Sud-Hareem mi ha chiesto di aiutarlo a trovare suo figlio, At'avar."
"103224356-0-23461","Sud-Hareem has found a survivor from his group. We should find out what she knows.","Sud-Hareem ha trovato una sopravvissuta del suo gruppo. Dovremmo scoprire che cosa sa."
"103224356-0-23463","Mereel was knocked unconscious when the bandits attacked. She doesn't know what happened to At'avar.","Mereel ha perso conoscenza quando i banditi hanno attaccato. Non sa cosa sia successo ad At'avar."
"103224356-0-23464","Sud-Hareem heard movement in one of the old spider egg sacks. He is investigating before we move on in our search for At'avar.","Sud-Hareem ha sentito del movimento in uno delle vecchie sacche di uova di ragno. Sta indagando prima di proseguire nella nostra ricerca di At'avar."
"103224356-0-23465","Faulor claims that At'avar was dragged farther into Spindleclutch by the vampire leader.","Faulor dice che At'avar sia stato trascinato più in fondo dentro Spindleclutch dal capo vampiro."
"103224356-0-23468","At'avar should be destroyed.","At'avar dev'essere distrutto."
"103224356-0-26446","I have been asked to report to Merric, back with the Fighters Guild council. I should talk to him as soon as possible.","Mi è stato chiesto di fare rapporto a Merric, tornando al consiglio della Gilda dei Guerrieri. Dovrei parlargli il prima possibile."
"103224356-0-34862","I should seek out and kill enemy Templars.",""
"103224356-0-34866","I should seek out and kill enemy Templars.","Dovrei cercare ed uccidere i Templar nemici."
"103224356-0-34880","I should seek out and kill enemy Dragonknights.",""
"103224356-0-34882","I should seek out and kill enemy Dragonknights.","Dovrei cercare ed uccidere i Dragonknight nemici."
"103224356-0-34890","I should seek out and kill enemy Nightblades.","Dovrei cercare ed uccidere i Nightblade nemici."
"103224356-0-34892","I should seek out and kill enemy Sorcerers.",""
"103224356-0-34894","I should seek out and kill enemy Sorcerers.",""
"103224356-0-34896","I should seek out and kill enemy Sorcerers.","Dovrei trovare e uccidere i Sorcerer nemici."
"103224356-0-35460","I decided to kill <<1>>. I should return to <<2>> and let her know what happened.","Ho scelto di uccidere <<1>>. Dovrei tornare da <<2>> e farle sapere cosa è successo."
"103224356-0-35462","<<1>> suspected there was a great threat within the Tonal Auditorium. With the pressure valves closed, I should explore the central chamber.","<<1>> sospettava che ci fosse una grave minaccia nell'Auditorium Tonale. Con le valvole della pressione chiuse, dovrei esplorare la camera centrale."
"103224356-0-35467","I found the whistle. I should test its beast-taming powers on the durzogs in Nikolvara's Kennel.","Ho trovato il fischietto. Dovrei provare i suoi poteri ammalia-bestie sui durzog nel Canile di Nikolvara."
"103224356-0-35642","""<<1>>"" is really <<2>>, the exiled daughter of <<3>>. She posed as <<1>> so she could be named a contender, and wants to be the new chief of Shatul. She asked me to tell her grandmother <<4>> that she is headed to the Bloody Knoll to fight <<5>>.","""<<1>>"" è davvero <<2>>, la figlia esiliata di <<3>>. Ha posato come <<1>> in modo che potesse essere nominata contendente, e vuole essere il nuovo capo di Shatul. Ha chiesto a me di dire alla sua nonna <<4>> che è diretta al Poggio Insanguinato per affrontare <<5>>."
"103224356-0-35643","<<1>> asked me to inform <<2>> that he is a contender for chief. He will oppose <<3>> in the Bloody Knoll.","<<1>> mi ha chiesto di informare <<2>> che lui è un contendente per il ruolo di capo. Affronterà <<3>> al Poggio Insanguinato."
"103224356-0-35644","According to <<1>>, Shatul will have a difficult time accepting <<2>> or <<3>> as chief. She asked me to slip a flawed blade to the weakest contender.","Stando a <<1>>, gli Shatul avranno un periodo difficile nell'accettare <<2>> o <<3>> come capo. Mi ha chiesto di passare una spada fallata al contendente più debole."
"103224356-0-35728","There's a way to the moot through the temple. I should talk to Chief Bazrag and figure out our next move.",""
"103224356-0-36956","I should tell Mazgroth the truth about what occurred in the Exile's Barrow.","Dovrei dire a Mazgroth la verità su quello che è successo nel Tumulo dell'Esiliato."
"103224356-0-36977","<<1>> and I found our way into Morkuldin. I should explore the lost home of the Morkul Clan.","<<1>> ed io abbiamo trovato l'ingresso per Morkuldin. Dovrei esplorare la casa perduta del Clan Morkul."
"103224356-0-37015","I should talk to Berrice and find out what she plans to do with the Nord relics I gave to her.","Dovrei parlare a Berrice e scoprire cosa pensa di fare con le reliquie Nord che le ho dato."
"103224356-0-37016","Berrice said I should look her up at the museum in Orsinium. If the relics I provided her with turn out to have any historical value, she promised me a reward.","Berrice ha detto che dovrei cercarla al museo in Orsinium. Se si scopre che le reliquie che le ho fornito hanno un qualche valore storico, lei ha promesso di ricompensarmi."
"103224356-0-37036","I killed Henrisa and found Lady Sovelle. I should talk to her and set her free.","Ho ucciso Henrisa e trovato Lady Sovelle. Dovrei parlarle e liberarla."
"103224356-0-37043","I found First Mate Holbert in one of the wrecked ships. Now I need to look for the ambassador and her bodyguard.","Ho trovato il Primo Ufficiale Holbert in una delle navi distrutte. Ora devo cercare l'ambasciatrice e la sua guardia del corpo."
"103224356-0-37098","Inside the rectory, I found the captured priests. I need to save Priest Uugus so I can ask him about High Priestess Solgra.","Dentro la canonica, ho trovato i preti rapiti. Devo salvare il Sacerdote Uugus in modo che possa chiedergli dell'Alta Sacerdotessa Solgra."
"103224356-0-37099","High Priestess Solgra went to defend the temple sanctuary. I need to find her and make sure the fanatics don't hurt her.","L'Alta Sacerdotessa Solgra è andata a difendere il santuario del tempio. Devo trovarla e assicurarmi che i fanatici non le facciano del male."
"103224356-0-37100","I found High Priestess Solgra, but one of the fanatics has threatened to kill her. I need to save her.","Ho trovato l'Alta Sacerdotessa Solgra, ma uno dei fanatici ha minacciato di ucciderla. Devo salvarla."
"103224356-0-37101","I rescued High Priestess Solgra. I should talk to her and see what she can tell me about the attack on the temple.","Ho salvato l'Alta Sacerdotessa Solgra. Dovrei parlarle e vedere cosa può dirmi dell'attacco al tempio."
"103224356-0-37102","High Priestess Solgra suspects Chief Bazrag is behind the attack on the temple. I need to get the news to the forge-mother as soon as possible.",""
"103224356-0-37103","High Priestess Solgra suspects Chief Bazrag is behind the attack on the temple. I need to get the news to the forge-mother as soon as possible.","L'Alta Sacerdotessa Solgra sospetta che ci sia il Capo Bazrag dietro l'attacco al tempio. Devo portare notizie alla madre-di-forgia il prima possibile."
"103224356-0-37120","Orgotha asked me to find Murukh and the hunters who went after the Riekrs and their captives. She thinks they may have headed toward the cave in the cliffside.","Orgotha mi ha chiesto di trovare Murukh ed i cacciatori che hanno seguito i Riekr ed i loro prigionieri. Lei pensa che possano essersi diretti verso la caverna nel fianco della scogliera."
